number,네이버 장점,네이버 단점,카카오 장점,카카오 단점,라인 장점,라인 단점,쿠팡 장점,쿠팡 단점,배민 장점,배민 단점,페이스북 장점,페이스북 단점,아마존 장점,아마존 단점,애플 장점,애플 단점,넷플릭스 장점,넷플릭스 단점,구글 장점,구글 단점
23,사옥시설이 좋고 구내식당이나 복지가 잘되어있음 밥 맛있음,부바부 사바사 타 대기업에서 넘어온 보수적인 인재들이 많은 편,"하고 싶은 일 전폭적으로 지원해줌
자율 출퇴근
간식 줌","경영진이 별로에요
사람은 많은데 건물이 너무 협소해요","재택이 가능하며 좋은 업무 문화를 가지고 있음.
개발자로 성장할 수 있는 다양한 기회를 공유해줌.
진리의 케바케라고는 하지만 워라밸을 잘 지키며 일에 집중할 수 있는 문화가 좋다.",재택이기 때문에 초반에 팀에 적응하는 데에는 시간이 많이 필요함.,"재택근무
또 재택근무
오로지 재택근무
이거 외엔 정말 없는듯","몸집이 커져서 시스템도 다양하고 복잡해졌으나 여전히 수동적인 휴먼 갈아넣기 프로세스가 난무함
리더쉽 프린시펄? 어이가 없다 과연 이거대로 행해지고 있다고 보나?","일 하기에 좋은 회사를 만들고자 노력을 많이함
웰컴온, 규율을 토대로 자율을 보장하는 신뢰있는 구조",공격적인 목표와 함께 업무량과 성과에 대한 스트레스가 있음,"신경을 긁는 사람이 없음
유능한 사람들을 보며 모티베이션을 끌어올릴 수 있음
졸리면 자고 배고프면 먹고 일하고 싶을 때 일할 수 있음
모든 것이 내 컨트롤 아래에 달려있음
해외 지사/직무를 바꿔가며 유연하게 일할 수 있음
해외 출장 원한다면 언제든지 가능
내 의견이 굉장히 중요하게 받아들여짐","목표가 정해지면 무조건 앞만 보고 달려야함
유능한 사람들이 많아 승진이 어려울 수 있음
새로운 업데이트가 많아서 매일매일 공부해야함
경쟁사에 비해 연봉이 그다지 높지 않아보임","능력있는 동료들

수평적인 분위기

빠르게 발전하는 기술만큼 내 기술력도 크게 향상됨","주변에 능력있는 동료들이 많기에 그만큼 경쟁이 치열함.

연차가 올라감에 따라 회사에서 직원에게 고려하는 기대치가 큰편이기에 의도치 않게 업무량이 기하급수적으로 늘어남.

수평적인 분위기와 맞물려 사수 부사수 개념으로 상사가 나를 케어하지 않는 문화임. 즉, 내가 알아서 일을 찾고 성과로 만들어야함. 그래서 안정성을 추구하는 사람들에겐 힘들 수 있음","워라벨. 남아도는 휴가 병가.
이걸 쉬아웃하는 것도 쏠쏠","그다지 없는데.. 이제는 미래가 좀 걱정됨
미국 본사에서 출장오는 애들 보면 좀 부러움.","활발한 피드백 문화
최상 최고의 업무 환경 - 일에 몰두할 수 있도록 아낌없는 서포트
경쟁의식이 없고 모두가 모두를 도와주는 문화
자유롭고 유연한 분위기와 능력있는 동료들","최고의 동료들과 함께 일하면서 나도 모르게 느껴지는 부담감이 있으나 이 또한 장점이 될 수 있음
스스로 시간 관리를 해야 함 워라밸 무너지기 쉬움
능동적으로 일을 해야 하므로 시키는 일만 하는 사람에게는 힘들 수 있음","점심, 복지
사람들 매너도 좋습니다
같은 직무하는 팀원들이 많아 든든해요","쉴틈없는 사이드 프로젝트
영어를 정말 잘해야한다
글쎄요.........."
24,아무래도 밥이 맛있고 재택이 가능한게 좋았음. 인프라도 좋음,일은 좀 빡셈. 회사 분위기가 좋지만은 않다. 앞으로 힘들듯,"기업 문화는 정말 좋다
동료들의 인성도 훌륭하다
워라밸도 좋다 복지도 좋다
유연근무제","커리어 챙기가 어렵다
이런저런 보고가 많은 편
각자도생해야함",높은 수준의 급여. 자유로운 사내 분위기. 글로벌한 사업무대,야후와 합병 후 위에 나열한 회사의 장점이 약소화되는 중,재택. 워라벨이 좋다는점. 저녁밥이 공짜입니다.ㅎㅎ 내 일만하면됨,계약직으로는 비추. 체계만들어가는중. 물음표생기는 업무,성장을 응원하고 다양한 교육제도를 계속해서 발전해나가는 회사,큰 단점이랄게 없음. 일이 너무 많아서 모두가 정신없다는거,"굉장히 오픈된 문화
인상적인 내부 툴체인
직원들을 많이 믿어줌"," (엔지니어링의 경우) 내부 툴링이 정교하게 잘 짜여있지만, 이것 때문에 바깥의 오픈소스에서 쓰던 워크플로우와 호환되지 않는 경우가 많이 있음",배울 기회가 많고 일하면서 내재화되는 속도가 빠르고 수준이 높다.,모든 것은 셀프 서비스이며 여러 자료는 흩어져있기에 아이러니하게도 동료들과 커뮤니케이션이 원활하지 않다면 시행착오가 빈번히 발생하는 비효율이 존재힘,"인간관계
자유로운 휴가
주식
쏠쏠한 복지
병가
분단위 연장수당","급여
불규칙한 스케쥴.
아쉬운 식비.
주차 불가.
가끔 나타나는 빌런.","자율성 보장 + 피드백 문화로 건강한 조직문화
개개인의 성장을 위한 지원과 복지 풍부","면접이 일반 회사처럼 3-4단계로 정해져있지 않음 10번 이상 본 사람도 봤음
회의가 많은 편","엔지니어로서 좋은점
돈많이줌
이직할때 이름좋음
똑똑한 사람 많아서 많이배움
워라밸좋음",앞으로 다른회사가 구글 먹을수도있다생각해서 약간 불안함
25,동료들이 뛰어나고 배울점이 많으며 급여 복지 모두 만족스러움,"최근 채용인원이 줄어들어 업무량이 많이 늘어남
팀마다 편차 있음",워라벨 꿀빨기 좋은회사임 어린이집 간식공짜 사내식당 좋음,경영진 무능이 최대 단점이라 탈출준비중임 구다음처럼 될것같믐,"동료 수준 높음
근데 이제 다 탈출하는 중이라 앞으로도 높은지는 미지수
능지가 있다면 인질잡혀 있는게 아니면 다 탈출중","빠르게 침몰하는 배

경영통합한다면서 경영진이 야후에 주도권 다 뺏기고
손놓고 속수무책으로 일방적인 흡수통합 중

문제는 일본 야후가 세기말급 무능한 회사라는게 통합 과정에서 드러나고 있음

이제 네카라에서 라인은 빠져야할듯","재택이 가능하고, 외국인 매니저들이 많아 사고방식이 유연하다(꼰대문화 없음)",외국인 천지라 영어 안되면 스트레스받음. 그거 외엔 다 좋음,"이것저것 다 시킴...
내가 뭘로 뽑혔는지 햇갈릴때가 있음
이게 장점이자 단점이다
전문성을 잃어가지만 많은일을 해볼수있음","어마어마한 마이크로 매니징
작은일 하나하나 간섭하니 내 일만 온전히 하기가 힘들다","시니어 레벨에서는 여느 회사와 마찬가지로 정치와 권모술수가 난무하지만, 실무레벨은 그런거 신경 쓸 필요 없이 자기 할일만 잘 하면 되는 구조라서 편함. 사내정치나 꼰대문화, 악습 없는 편. (팀바팀이긴 함)
탑급의 복지. 3백만원 이상 연 복지수당, 구내식당, 남녀불문 4개월 출산휴가 등등...회사에서 전사 휴무일도 가끔씩 뿌려줌. 올해는 전사 휴무일만 5일인가 6일인가 나왔음.
이것도 사바사긴 하지만 연봉 수준 높은 편. 본인 실적 대박나면 가끔씩 큰 돈도 만질 수 있음.
테헤란로에서 가장 비싼 건물로 최근에 이전함. 뽕에 취할 수 있음.
아직은 괜찮은 네임밸류.","커리어의 업사이드는 국내 기업들과 비교해봐도 제한됨. 별 욕심없이 다니기에는 너무 좋은 회사인데, 대체로 그런 사람을 뽑지 않는다는 것이 문제임. 고인물이 되거나 나가거나. 실제로 고인물들이 많이 존재함.
짜치는 업무가 심하게 많음. 로컬오피스의 한계라고 생각함. 하다보면 내가 이런거 하려고 여기 왔나 자괴감이 들음.
회사의 방향성이 산으로 가는듯한 느낌을 받음. (특히 최근 들어)
최근의 주가 폭락으로 직원들의 사기 저하와 동요가 있음.","훌륭한 인재들만 모인 곳이라 배울점, 성장 기회들이 무궁무진하게 많다.",성과 압박이 심한편이고 직무에 따라 워리벨을 지키기 힘들 수도 있음,"사람을 사람답게

경영철학

병가 이유 묻지 않음

재밌음","리더쉽이 문제임
권력 오남용 심한데
사원들을 위해 일하는 리더쉽 없음","무엇보다 금전적 보상인 듯. 연봉에 몰빵해주는 구조라 커리어상 정점의 연봉을 받고 있음 단, 기타 배네핏은 거의 없다고 보면 됨 (보너스 포함)
조직이 상당히 수평적임.
핫한 회사를 다닌다는 넷뽕.","일이 항상 진심 진짜 너무 많다. 진정한 번아웃 경험하기 딱 좋음. 쉬는 날도 이메일, 메세지 계속 와서 쉴 수가 없음.

피드백 문화가 장점이기도 하지만, 경우에 따라서는 이상한 피드백과 상하, 부서 무관하게 피드백?이 난무해서 은근 사내 정치 혹은 타 부서와의 관계까지 신경쓰지 않을 수가 없는 피곤함이 있음.","업무 자유도가 높은 편
같이 일하는 사람들이 대체로 실력있음
외국인들과 주로 일함 (동료들이 대부분 외국인)
회사의 규모를 생각하면 대기업임에도 불구하고 상당히 수평적인 문화가 여전히 남아 있다고 생각됨","본사에서 많은 권한을 갖고 있어서 운신의 폭이 크지는 않음
직원 한명한명의 책임이 크고 생각보다 체계가 없어서 맨땅에 헤딩하는 것 같을 때가 좀 있음
(진리의 팀바팀)"
26,"당근 재택근무 아닐까
타 회사들 재택근무 없어지는 분위기인데 재택은 유지될듯","아직까지 크게 단점이라고 느낄만 한건없음
무난하게 꿀빨면서 다닐만 한듯","휴가 30일 이상
내맘대로 연차 결재 필요없으
극강 워라밸","부족한 아마츄어 경영진
통제되지 않은 무소불위 권력
젊꼰","직원들을 배려해주고 여러 자잘한 복지가 좋았음
주변 동료가 좋아서 기술적 역량을 높일 수 있음","답답한 커뮤니케이션
수직적인 문화
레거시를 개선하려는 의지가 약함

일본화 되어 가는 기업 문화와 더 이상의 도전을 반기지 않는 분위기","깨끗한 본사 사옥
맛있는 구내 식당
괜찮은 연봉
워라벨
다양한 업무 경험 가능","부서마다 업무 및 커리어, 연봉 차이 심함
대기업 치고는 없는 복지
오래 다닐 수 있는 분위기가 아님",같이 일하는 사람들 보고있으면 나도 덩달아서 같이 잘하고 열심히 하고 싶어짐. 물론 팀바팀이겠지만,우형만의 문화가 강력하고 성격이 뚜렷했다고 생각하는데 규모가 점점 커지면서 그걸 유지하는데 많은 성장통을 겪고 있다고 생각함,돈이 최고의 복지. 업계 최상위 수준의 TC. 의료보험 등 기타 복지도 우수한 편임.,"회사는 워라밸을 개선을 강조하고 있지만 워라밸이 좋아지고 있는지는 잘 모르겠음.

MPK 말고는 식당 밥이 맛있지는 않다.","자유로운 연차 사용, 외국계의 수평적인 분위기, 프라이버시 존중","인사이동이 잦아 업무 히스토리를 아는 사람이 없음, 업무량이 많음","개인적으로 일하고 싶다면 그래도 됨
서로의 가치관을 존중해줌","소문이 너무 많음
적은 연봉
계속 사람을 만나는데 드는 체력적인 한계","함께 일하는 동료들의 수준. 책임감, 리더쉽, 프로정신
자유와 책임 기업 문화",업무 강도. 전략의 빠른 전환. 출근 시간이 없지만 퇴근시간도 없는,밥이 맛있다. 자유로운 분위기. 매니저에 따라서 정말 행복할 수 있다. 서로 존중해준다.,자유로움 속에 방만이 존재한다. 혼자서 성장하지 않으면 자유로움 속에서 쳐지거나 도태될수있다. 끊임없이 스스로 성장해야하는 곳
27,"좋은 동료들, 최고의 근무환경, 맛난 회사밥. 만족스러운 복지",레거시 있는 서비스의 경우배울 게 많이 없을 수도 있겠다는 생각,"근무환경이 쾌적함 오피스 가구가 좋다
최신기술동향을 손쉽게 접할수 있다",비도덕적이고 무책임한 경영진의 활동에 상당한 피로감을 느낀다,"자율 근무제, 리모트, 그리고 워라밸
리모트가 최고. 개인을 믿고 각자 근무 시간을 셋할 수 있는게 최대 장점
능력 좋은 동료가 많고 상식적이고 평이한 분위기","회사 전체적으로 비대면에 적응되어 소속감 없고 딱딱한 분위기
보상이 적다. 애매한 연봉, 귀여운 보상, 기본은 하지만 평범한 복지
기업 규모에 비해 너무 소수 인원으로 일이 돌아가는 경향이 있다 지금은 채용 프리징이라 더 그런듯
팀바팀이지만 주니어나 신입은 들어오면 적응하기
힘들듯 끌어주거나 케어해주는 사람 없을 가능성 높음","팀장들이 분석적인 데이터를 기반으로 팀원들 사기를 북돋음(팀바팀이지만)
사내식당 맛있음","성과 달성에 미친듯이 신입사원 갈구는 곳
아웃바운드&콜드콜 정말 힘듦
강요하지 않지만, 성과 달성하려면 야근/주말에도 업무 스트레스 받음","주 32시간, 풀재택, 좋은 동료들과 좋은 사무실! 다니기에 부족함없다",기간제 구성원의 경우 연봉이 짜지만 비포괄이라 초과근무수당 생각하면 그럭저럭,네임 벨류가 좋고 복지 및 급여 수준 역시 우수. 글로벌 대기업이라는 프라이드가 있음,매출이 계속 떨어짐에 따라 내부 쪼임이 심하고 매우 정치적임. 워라벨 최악,의지와 머리만 있다면 성장 가능한 곳. 사람들도 대부분 나이스함.,의외로 가이드 없음 알려주는 사람 없음 모든 트레이닝은 온라인 의존,"급여 및 회사 복지가 너무 좋아요
자신 뿐만 아니라 배우자에 대해서도 복지가 주어짐
매년 본인 능력 개발을 위한 지원과 각종 복지들이 애사심을 갖게 함","매니져의 능력차가 분명히 존재함
국내 기업같은 정치질은 없을줄 알았는데 존재하는거 같음",최고의 대우 최고의 동료 사내 정치 없음 회사의 좋은 문화,"누가 하라고 하지않지만 일이 많음
스스로 일을 찾아서 최상으로 끝냄","워라밸 급여가 보장된다 복지 좋음
개인적인 느낌 시설이 좋음",단점이라기보다는 외국경험 없으면 살아남기 힘듭니다 뭐든 함께하는 사람들이 어떠냐가 중요한것 같아요
28,"자율성, 유연성
재택근무, 시간외수당
사내식당, 사내동호회","여러가지 일들을 동시에 할수있어야함
서비스에 따라 케바케, 일하는 사람한텐 일이 몰림","같이 일하는 동료들이 실력도 성격도 좋아서, 많이 성장할 수 있습니다.",경영진..이 비전 제시를 제대로 못하고 잘못된 방향성으로 가는 느낌이 납니다.,해외와 협업할수 있는 경험. 비교적 자유로운 분위기. 업무 중심으로 불필요한 보고가 적음,"메이커로써의 주도권이 없고, 직접 써보거나 쓰는 것도 보기어렵다보니 서비스 만드는 보람이 적음","우수한 동료들
글로벌한 환경
오피스 위치
아직 재택이 가능","이 회사 다니면서 번아웃 아닌 사람을 본 적이 없음
멘탈관리하기 힘든 회사","즐거운 일을 앞장서 만들어주는 독특한 기업문화
소통을 강조하고 그만큼 노력하는 구성원들
월요일 오후 출근 (최고)
주 32시간 근무 + 재택","잦은 조직개편과 그에 따른 의사결정의 변화
마이크로매니징의 압박","워라밸이 좋고 연봉이 좋다
복지도 좋고 회사에서 전체 휴일을 많이 줘서 한달에 두번 이상은 쉰다",윗사람 중 보고 배울 사람이 없음 알아서 해야하고 정치가 없지 않음,"신입 기준 어디 가서도 받을 수 없는 높은 연봉
좋은 문화에서 일을 배울 수 있음
네임밸류
외국 지사 이동 등 다양한 커리어 기회","대규모 layoff로 인해 최근 분위기가 안 좋음
연봉 인상률이 크지 않은듯함
미친듯 일하고 눈에 띄어야 살아남음","휴가 쓰고 싶으면 눈치 안보고 쓸 수 있음
보여주기 식으로라도 수평적인 문화를 유지하려고 함
현실에 안주할 수 있다면 최고의 회사
 밝고 좋은 사람이 많다","내가 잘하는걸 잘하는 티를 적극적으로 내야함
가만히 있는다고 승진할 수 없음
능력이 있고 믿을만한 리더십이 많지 않음
하지만 이상한 사람도 많다",세계 최고의 컨텐츠 회사로서 선진회사의 문화와 워크플로우를 배울 수 있다는 점과 믿을 수 있는 동료,워라밸을 이야기할 수 없는 분위기. 휴가가 무제한이지만 쓰지 않을 사람 책임감 높은 사람을 뽑는 느낌,"뛰어난 동료도 많고 서로 존중하는 문화
외부에서 보는 네임밸류",그만큼 경쟁도 치열하고 회사가 급성장해서 기회가 많이 없음
29,"좋은 R&D장비
주변의 훌륭한 연구인력들
연구에 초점을 맞출수있는 환경","상대적으로 연구 실적 압박있을 수도있음
그외에는 딱히 생각안남","부바부 이지만 부서 잘 걸리면, 능동적인 부서에서 하고싶은 일을 워라벨 있는 환경에서 할수 있다. 대체로 직원들에 착한데, 이상한 직원들은 이상하게 특정 부서에 지들끼리 모여있음.
연봉은 5-6년차에 원징 1억도 가능하다. 단, 1억 언저리 부턴 상승률은 낮은 편.",연봉 상한이 낮은편이며 인센이 거의 없다. 가장 큰 단점은 임원진들이다. 진짜 한대 치고 싶다.,출퇴근 부담없이 일할 수 있고 시간을 소중히 사용할 수 있어요,"커리어 향상은 글쎄, 잘모르겠습니다 하지만 긍정적인 미래를 기대해요",다양한 업무를 많이 배우기 + 연차 자유롭게 사용이 가능함,직원복지가 없음 직원복지가 명절에 쿠팡캐시가 끝이며 레벨에 따라 너무 다름,"규율위의 자율를 지키는 회사
구성원들이 대부분 열심히 일하고 자기개발도 하는 분위기","장애 터지면 실시간 대응해야 하는 점
계획했던 프로젝트도 후순위로 밀리는일이 잦다.",워라벨 매니지 가능 + 그래도 외국계 중에는 나쁘지 않은 compensation 패키지,"조직에 있는 사람들이 고인 물이거나 너무 새로 조인하신 분들이라, 매번 일이 리프레시되는 느낌",개발자로써 엄청 많이 배우고 똑똑한 사람들이랑 일함. 돈도 많이 줌,개처럼 일시킴. 야근은 당연하게 여겨짐. 승진 절차고 어려움.,직장내에서 서로를 존중해주는 분위기이고 복지가 좋은편임,그 속에서 치열하고 보이지 않는 경쟁이 존재하고 은근히 무리가 있음,"성장 가능성, 커리어 관리, 업계 탑급의 대우, 깔끔하고 좋은 오피스",어디서든 일을 한다. 자율적으로 일하다보니 일을 시키는 사람이 딱히 없어서 이런 문화에 익숙치 않은 사람은 초반에 적응하기 어려울 듯,업무환경이 잘 구성되어 있어 일하기 좋은 환경을 제공해줌,성과주의로 성과가 나오지 않으며 누가 크게 뭐라하지는 않지만 스스로 불안해짐
30,"사내복지, 연봉 매우 좋은 편
국내기업 중에서 딱히 더 좋은 곳 갈 만한 곳 몰겠음","문화가 군대식 위에서 시키면 넵넵넵
경영진이 제일 군대식",자율출퇴근에 주 40시간만 채우면 돼서 워라밸은 너무 좋음. 주변 분들도 실력 좋아서 성장하기도 좋다.,경영 문제가 너무 심해서 오래 있을 생각이 잘 안든다. 급여도 많지는 않은 편이고 원래 좋았던 사내 문화도 점점 악화 되어가는 듯,팀바팀일 수 있겠지만 팀원들이 너무 똑똑하고 열심히 해서 부끄러워서라도 더 하게 됨,"경영진에 대한 불만이 대체로 있는 듯하고, 일본 법인 및 야후 등등 어지러운 정세에 끼인 상태도 좀 애매함",재택근무가 이렇게 좋을 줄 몰랐습니다. 진짜 이게 최고의 장점!!!,"일이 너무 많습니다. 쿠팡에서의 1년은 다른 회사의 3년이란 말이 있듯, 정말 적응하기 어렵고 일이 많아서 힘들 때가 있습니다.

다만, 이 걸 이겨내면 오래다닐 수 있을 것 같습니다.","비포괄임금제
재택(이었지만 이제는 아닌)
빠른 의사결정 속도","하루에도 몇번씩 변경되는 리더십의 의사결정
촉박한 업무기한
휴가인데 맘편히 쉬지 못함",해외 근무라서 국내보다 더 다양한 협업 모델을 경험할수 있습니다,겉으로는 자유롭고 좋아보이지만 내부에서는 살아남기 위해 계속 치열합니다,"뛰어난 동료들, 고객 집착 문화, 빠른 속도, 안정적인 서비스","점차 늘어나는 이상한 사람들의 비율(어느새부턴가 아무나 막뽑아서 이상해짐), 최악의 HR, 최악의 오퍼레이션, 사라진 킥오프, 외국애들은 Frugal 안지키는데 김치들만 지키라고 강요하는 문화","서로를 존중하기 위해 노력하고, 모든 의견이 수렴될 수 있기 위해 노력",한국문화와 애플문화 간의 발란스에 있어서 아직은 더 노력이 필요,"배울 점이 많은 최고의 팀원들. 직원 전원이 일당백을 함
동종업계 최고 연봉과 대우
개방적인 회사 분위기, 직급 상관 없이 제안과 수용이 가능한 유연함
다양한 시각으로 성장할 수 있도록 만들어주는 업무 환경","일당백을 한다는 건 한 사람이 백 명분의 일을 해야 한다는 것...
계속해서 자신의 가치를 증명해내야 함",직원을 무한 신뢰하는 회사. Inclusive 끝판왕..,나태하고 무능한 사람들이 점점 많아짐. 입으로만 먹고 사는 사람들
31,"자유롭게 의견 개진하는 분위기
탄탄한 인프라 바탕 성장성","기존 막강한 포털 색으로 인한 BM 창출 한계
개개인 역량 발휘 다소 힘들수도",리더를 잘 만나면 일 만족도는 어느 정도 챙길 수 있음. 불평하는 직원들 많지만 객관적으로 이 정도면 워라밸이 좋긴함,경영진의 능력 부족. 방향성도 없고 직원들에게 설명도 없고 리더십도 없고 잘못된 리더를 쳐내지도 않음. 그놈의 패밀리로 살림 다 말아먹을듯,재택을 사랑하면 여기로 오세요. 디자이너라면 여기로 오세요. 디자인 직군이 이정도 대우 받는 회사 거의 없을 듯,"여자들 많이서인지 견제와 거리두기가 심함
경력이든 신입이든 처음 들어오면 적응하는데 애먹을 거임
각자도생","일에 대해 열정적이며 배울점이 많은 상사들이 있음.
기업문화가 수평적임.","급여가 적고, 수평적인 회사 분위기에 적응할 수 있어야 하는데 의외로 그런 점이 어떤 이에게는 어려울 수 있음.","전반적으로 구성원들의 일하는 방식, 기업문화가 자리 잡혀 있음
우수한 구성원 케어, 업무 환경 인프라
","업무량 많음 / 회의 많음
단점은 아니지만 업무 스피드가 빠르므로 개인 역량, 성향에 따라 적응하기 어려울 수 있음","연봉, RSU (주식), 복지. 의료비, 운동 등등 비용이 지원됨","메타버스에 올인 했는데 몇 년 뒤에 어찌될지 모르겠음.
모든 tier 1 회사들이 마찬가지겠지만 업무가 너무 많음.","사내 문화; 자유롭고 수평적인 분위기. 월급, 주어지는 기회 많음","통상 생각하는 주인의식, 오너십을 뛰어넘는 수준의 열정이 있어야 그만큼의 기회와 보상이 찾아옴.","주 2회 재택이 가능하고 비교적 근무가 유연한 편
본사가 빵빵해서 회사 질리다가도 한번씩 본사 뽕에 취할 수 있는곳
개인적으로 발전할 수 있도록 여러 프로그램과 역할로 성장시키는 것도 장점","직원에 대한 투자가 짜다.. 매출 대비 보수적인 연봉, 부족한 식대 구내식당이나 어린이집 없음…
그리고 이상한 매니저들이 너무 많음 부서 복불복이 심함","회사도, 직원인 나의 역량도 하루하루 성장해나감
그속에서 오는 성취감, 재미
개방적이고 유연한 조직 문화
경쟁보단 다같이 잘해보자고 서로 이끌어주는 훈훈한 분위기
내가 참여한 작품들이 국내외적으로 크게 이슈화 될때 느끼는 보람
사무실에서 제공되는 식사, 간식들 & 굿즈
사내 규정 딱히 없고 언제 어디서든 내 할일만 해내면 됨","일의 강도 높음
워라밸을 추구하는 사람들에겐 힘들 수 있는 곳",뛰어난 동료. 한국에 국한되지 않은 서비스 개발. Upper bound 없는 보상. 상대적으로 자유로운 근무시간,서로 관심이 없는 문화. 팀바이팀이지만 생각보다 수직적. 스타트업인척 하는 대기업.
32,"유연 근무제
비교적 높은 총보상
좋은 근무 시설 오피스","인사 적체 심각
실무 감각 없는 고인을 꽤 많다
빵 뜨는 신사업 안나오는 이유는 업무 프로세스 문제","능력있고 착한 동료가 많다
개발문화가 잘 정착되어 있다
복지가 괜찮다
많이 떨어지긴 했지만 네임밸류","모럴해저드란 무엇인지
방만이란 무엇인지
알게 해주는 최악의 쌈마이 경영진들",재택근무 지속하는 몇 안되는 회사중하나 사내분위기좋고 복지 최상,그닥힘들었던점은 없는것같다. 바쁠때도있지만 단점 잘 모르겠다.,100프로 가능한 풀 재택근무 이거 하나면 다른 단점 보완될 정도..,기약없는 정규직 전환 및 시도때도 없는 슬랙방 알람..,"성장할 수 있게 회사가 많이 지원한다.
워라밸은 안맞아도 연봉과 복지 덕분에 이겨낸다.","파트장 팀장급이 애매한 사람들이다.
탑다운이 많다.
쓸데없는 과제가 많다.","적당한 워라밸
좋은 동료
개인이 할 수 있는 업무 범위와 권한이 큼","사내 정치가 일상화된 문화
커리어 향상 기회가 적음
업무에 대한 가이드라인과 체계 부족",능력있는 사람들 덕분에 조직이 많이 성장했고 배우고자한다면 배울 수 있음,EAP 이후 조직이 흔들렸고 뒤숭숭한 분위기가 생겼음..,"연봉 캐쉬보너스 RSU ESPP
비교적 좋은 의료보험,","Bad work life balance
No HC backfill","사내 정치, 위계 등 전혀 신경쓸 필요없이 내 업무에만 집중할 수 있음.",나만 잘 하면 된다는 것이 가장 큰 스트레스가 될 수 있음,문화도 좋고 배울것도 많고 월드와이드한 기업이라서 기회가 많음. 하고싶은게 있고 능력되면 꿈을 이룰 수 있음.,구글은 워크스페이스 개념이지만 아무래도 mtv랑은 좀 차이가 있음. 그리고 구코문제는 아니지만 다들 넘 뛰어나서 내가 돋보이기 좀 빡세다는 단점이 있음. 과학고 서울대같은 느낌. 나도 나름 한다고 하는데 잘한다 소리 듣기 힘듬 
33,"네임밸류, 전국민이 사용하는 서비스, 성장 가능성이 높다는 점, 최고의 복지 수준, 좋은 동료들","일의 강도가 셈, 떠먹여주지 않고 뭐든지 자율적으로 알아서 찾아서 성취해야 한다는 점, 그러나 딱히 단점은 없음","대기업 문화를 즐길수있다
급여가 나쁘지 않다
카카오라는 이름값을 한다
다 똑같은 복지 적용","개발직군과 비개발 직군의 구분이 큼
네이버를 쫒아가는 느낌이 있음",동료들이 일단 실력자가 엄청 많음. 오히려 왜 여기 다니지 싶어서 대단해보임,경영진이 문제인데 프로 조직 분위기인데 결정은 아마추어인듯,높은 페이와 능력 있는 동료들이 있다. 기술적인 챌린지가 많아 성장의 기회가 많다,쓸데없는 프로세스가 많고 미팅이 잦다. 대기업화되면서 안 좋게 바뀐 부분이 있다.,"재택 보장, 출퇴근 시간 아끼니 삶의 질이 올라가서 너무 좋다",딱히 없지만 재택이다보니 불필요한 회의가 하루에 여러개잡혀있다는 거 정도..?,"기업문화 : 직원을 생각하고 사람을 생각한다
CEO와 경영진의 확고한 가치를 기반으로 한 너무 멋진 리더쉽
똑똑한 사람들이 나이스하게 서로 대합니다","조직이 작다
일당백해야한다
프로세스가 없다
혼자서 독고다이로 다 해야한다",쉼없이 빡세게 굴리는회사. 살아남으면 레벨업은 자동으로.,경영철학이 무너지고 있다는 느낌. 한국화가 되어가고 있다는 느낌이 있음,"워라벨은 인정
이직전 회사도 나름 괜찮았는데
애플은 넘사입니다.
일도 정말 편하게 할수있음","그냥 발전가능성이 보이지않음
사람들이 일을 안하려고함 내주위만 그런가","젊고 능력있는 동료들
꼰대같지 않은 경영진
업무 자율성 보장","빠르게 변하는 환경에 계속 적응해야함
지금은 업계 압도적 1위지만 미래에는 과연","아침 점심식사 및 커피 음료
수평적인 문화
젊은 회사분위기","스스로 업무를 찾아야함
개인적으로 맡은분야가 한국에서 힘쓰기 힘듬"
